,lnZ_planet,lnZ_flat,delta_lnZ,bestfit_ME,std_ME,bestfit_offset_planet,std_offset_planet,besfit_sigma_planet,std_sigma_planet,bestfit_offset_flat,std_offset_flat,besfit_sigma_flat,std_sigma_flat
HIP10175,35.57911245116938,40.220806428556706,-4.641693977387327,1.4404890690358099,0.4042977890279898,-0.056496571433379744,0.0068684707043912335,0.021095504859296975,0.00449657164006732,-0.03936658755650158,0.004845372401904196,0.01926505988651729,0.00386667722772981
HIP101905,39.49360623194805,31.988175132469646,7.505431099478404,4.112178508805138,0.7823227927308588,0.01702196115559721,0.008965599807612223,0.01681401232786527,0.0037033362073505623,0.06182530097948468,0.007774800367061378,0.03209815770432514,0.006499840534903535
HIP102040,34.67102076638294,35.33241177765439,-0.6613910112714549,2.1829290810564888,0.7878637661033954,-0.11695363068297537,0.009975888533978211,0.023441675725710643,0.005135013696897038,-0.09174400439333864,0.0065266643104016815,0.02642586662139232,0.005175383452838188
HIP102152,39.70617987263654,45.99325778237098,-6.2870779097344425,1.2755154074631625,0.26179759353108,-0.0388362468851489,0.0050047800146147976,0.015621341302886454,0.003422414741200767,-0.0228457190039025,0.0034931531909383655,0.012840804081893739,0.0028955294666928606
HIP10303,37.99908602841531,40.16159166376719,-2.1625056353518772,1.5318231404138545,0.4385792541886279,0.07033483243033857,0.00650612150032984,0.016835515511628804,0.004310944266771868,0.0885614209929924,0.004399565508708764,0.017753470620569478,0.00418707243312332
HIP104045,53.82656396890567,52.87909065118493,0.9474733177207355,1.1450118858896678,0.12650198376450336,0.02599148016719346,0.0020840528462573063,0.004828220187589248,0.0014127669382470731,0.040224002688834845,0.00221938582235474,0.008025111537872663,0.0019197096451652109
HIP105184,35.97477120008795,33.937291494824116,2.0374797052638343,2.6872669369867936,0.854312812534135,-0.04435561056188045,0.010384539295405145,0.02039677332559369,0.004919151056921359,-0.014533469982854293,0.006785211737443336,0.026889469847692166,0.006181792325517642
HIP108158,24.93335538700051,29.063525144040703,-4.130169757040193,1.9302359777415883,0.8482564697233616,0.04956347915440099,0.014131299793955103,0.04450856340041793,0.009626209066743588,0.0721756470280334,0.009976441232901638,0.03938221868423303,0.007865455670798549
HIP108468,37.53147408155444,40.06851561071383,-2.5370415291593886,1.497431814001017,0.4155152141068571,-0.11682311765214541,0.006259604762859529,0.01828280093719218,0.004181851262863837,-0.0990493312366812,0.004830866638618944,0.018859007573676805,0.004077746040291136
HIP109821,28.56897647168192,32.91507211243841,-4.346095640756488,1.711054085330266,0.6576521483746273,-0.10412488846969552,0.01047027561896997,0.03457369553457918,0.007265545008977543,-0.08395828303337986,0.007501716905338482,0.030885720773394205,0.0059906633062963574
HIP114328,31.118019273925466,36.03742704931072,-4.919407775385256,1.4874423931767107,0.4766368727855446,-0.03242972503985263,0.008028924380268443,0.023513492845305996,0.005618442831071797,-0.013421033197421127,0.005049073388683674,0.019079088683855962,0.004887311977099232
HIP114615,36.16857807398045,41.20965471946906,-5.041076645488609,1.3751773806033125,0.3707944639699922,-0.0834296826957683,0.006401866578512204,0.01974336369714934,0.0042438109971719195,-0.06631361113731335,0.004411110629828952,0.0175509082345512,0.0037511103244411335
HIP115577,24.39262650922066,28.643263077354074,-4.250636568133416,1.9685575068646517,0.8858796734483128,0.010712530642938829,0.014210266713765988,0.04450302250029381,0.009544955095448672,0.0338092324464579,0.00969648733118647,0.04018755962258356,0.007840835891622334
HIP116906,40.00054709328296,44.39729457935779,-4.39674748607483,1.3118992563491025,0.29183408692930896,-0.00838127757529278,0.004876089499975494,0.015343510246882165,0.003406291656513921,0.007445079533231487,0.003388816062419374,0.014294381232089837,0.0030916346926866574
HIP117367,35.54215578312097,43.61455259193192,-8.07239680881095,1.2725266542511744,0.28397496823864765,0.013389638745446021,0.005819100909571751,0.02036672162664237,0.0045221053297638475,0.0286391798283879,0.0037149731244079513,0.014801710609410145,0.003216685762469046
HIP118115,39.1506164763981,41.37614432554215,-2.2255278491440507,1.5231988438466193,0.42372740601993436,-0.05991466779684442,0.006303811447257038,0.017585048169199428,0.0037375293917560385,-0.042143509748675395,0.004728260038602985,0.01834925058185002,0.003532857489658142
HIP11915,37.077987446576465,42.67195029013627,-5.593962843559808,1.3293590760950373,0.3092093598853296,-0.09265490749639112,0.005590625433086317,0.01830541617390944,0.004004162708876305,-0.07603244059910175,0.004118220593644261,0.01570712054358256,0.0034698287718450457
HIP14501,23.092455286034816,26.985173852052498,-3.892718566017681,2.0111752985730935,0.9509660450042297,-0.11489098925941578,0.015897074827315526,0.050636378904114134,0.01037651247570952,-0.09096346486474235,0.011108989268869322,0.045213671091857595,0.008682367770381432
HIP14614,37.89533114223088,43.02389022690503,-5.128559084674151,1.3565223331281473,0.32802901764910364,-0.12416446963840758,0.005759622440077919,0.017556519446948183,0.003975588265053286,-0.10758655530413484,0.0038699651986022266,0.015018340982024534,0.0034782302314355865
HIP15527,39.39296940367329,42.01836252946415,-2.6253931257908576,1.4531929228593345,0.37872271620841486,-0.08974732803602335,0.005953859068490464,0.01701682507464582,0.0036142085705078942,-0.07224793744962638,0.004425890692817399,0.01763182384176919,0.0035642464798736197
HIP18844,35.2749142811749,41.35105066155372,-6.07613638037882,1.3399000741018428,0.344020671703482,0.006217125170083779,0.006503837461901546,0.02141643434974507,0.004727706603664607,0.022239877965704917,0.004438120946110947,0.017747501557555796,0.003774354073524761
HIP1954,37.82743289644089,44.703637667783305,-6.876204771342415,1.301873687650975,0.30186171919848,-0.10360894006776446,0.005596002108190264,0.018182419678811658,0.003894302058811959,-0.08729016019734684,0.0035882059384702795,0.013933785566378637,0.002793330708673985
HIP22263,32.36213831802929,30.049673900113394,2.312464417915894,3.7709164746927764,1.1540480918271316,-0.03708292335741246,0.013455439361046704,0.02841200449127567,0.00582479359742849,0.00331137147403687,0.009050764509273345,0.037939706107128525,0.007375030576222717
HIP25670,48.49027402883986,45.95935861749763,2.530915411342235,1.3836711727571567,0.26503541814522913,0.029299966444817215,0.003765484501889382,0.007207681730597196,0.00231129604920682,0.044980676574202134,0.003294097497278497,0.0123249020717427,0.0030231374243873087
HIP28066,22.465521494058237,25.814412337429296,-3.348890843371059,2.2156556290396847,1.1086344502507666,-0.1072282243564832,0.017039111131945173,0.05255367149090674,0.01056759614786318,-0.0825240826142026,0.012396008228230674,0.04858850598116208,0.009530780895167122
HIP29432,35.063997479813935,44.18513210131801,-9.121134621504076,1.2541247196364944,0.26866013847269277,-0.12192716435428376,0.005918210718281103,0.020359054857420754,0.0045659179513982745,-0.10641232886579628,0.0035804449976727095,0.013727891847361407,0.0032632808140140228
